# start, end, duration
6.066000000000000000e+03,6.047000000000000000e+03,9.300000000000000000e+01
7.083000000000000000e+03,6.066000000000000000e+03,3.160000000000000000e+02
6.223000000000000000e+03,7.038000000000000000e+03,6.040000000000000000e+02
6.047000000000000000e+03,6.221000000000000000e+03,6.330000000000000000e+02
6.217000000000000000e+03,6.047000000000000000e+03,3.560000000000000000e+02
6.047000000000000000e+03,6.211000000000000000e+03,2.890000000000000000e+02
6.021000000000000000e+03,6.214000000000000000e+03,6.050000000000000000e+02
6.248000000000000000e+03,7.083000000000000000e+03,2.130000000000000000e+02
7.083000000000000000e+03,6.248000000000000000e+03,2.050000000000000000e+02
6.204000000000000000e+03,7.083000000000000000e+03,5.690000000000000000e+02
7.083000000000000000e+03,6.070000000000000000e+03,3.430000000000000000e+02
6.231000000000000000e+03,6.216000000000000000e+03,6.840000000000000000e+02
6.231000000000000000e+03,6.216000000000000000e+03,5.280000000000000000e+02
6.231000000000000000e+03,7.083000000000000000e+03,2.500000000000000000e+02
6.017000000000000000e+03,6.021000000000000000e+03,3.790000000000000000e+02
6.212000000000000000e+03,7.083000000000000000e+03,2.890000000000000000e+02
6.213000000000000000e+03,6.307000000000000000e+03,2.720000000000000000e+02
6.047000000000000000e+03,6.212000000000000000e+03,2.470000000000000000e+02
6.218000000000000000e+03,6.047000000000000000e+03,2.350000000000000000e+02
6.047000000000000000e+03,7.038000000000000000e+03,2.060000000000000000e+02
7.083000000000000000e+03,6.066000000000000000e+03,4.920000000000000000e+02
6.047000000000000000e+03,6.021000000000000000e+03,2.410000000000000000e+02
6.218000000000000000e+03,6.066000000000000000e+03,2.690000000000000000e+02
6.047000000000000000e+03,7.038000000000000000e+03,3.190000000000000000e+02
7.083000000000000000e+03,6.047000000000000000e+03,3.700000000000000000e+02
6.047000000000000000e+03,7.038000000000000000e+03,2.080000000000000000e+02
6.214000000000000000e+03,6.047000000000000000e+03,4.520000000000000000e+02
6.214000000000000000e+03,6.066000000000000000e+03,8.330000000000000000e+02
6.047000000000000000e+03,6.021000000000000000e+03,3.980000000000000000e+02
6.221000000000000000e+03,6.047000000000000000e+03,3.360000000000000000e+02
6.021000000000000000e+03,6.070000000000000000e+03,2.900000000000000000e+02
7.038000000000000000e+03,6.021000000000000000e+03,1.450000000000000000e+02
6.047000000000000000e+03,7.038000000000000000e+03,1.620000000000000000e+02
6.066000000000000000e+03,6.047000000000000000e+03,1.720000000000000000e+02
6.047000000000000000e+03,6.214000000000000000e+03,3.300000000000000000e+02
6.079000000000000000e+03,6.216000000000000000e+03,2.120000000000000000e+02
6.214000000000000000e+03,6.221000000000000000e+03,3.910000000000000000e+02
6.214000000000000000e+03,6.047000000000000000e+03,4.250000000000000000e+02
6.219000000000000000e+03,6.214000000000000000e+03,1.590000000000000000e+02
6.221000000000000000e+03,6.214000000000000000e+03,4.970000000000000000e+02
6.205000000000000000e+03,6.221000000000000000e+03,4.430000000000000000e+02
6.217000000000000000e+03,6.047000000000000000e+03,3.300000000000000000e+02
6.214000000000000000e+03,6.217000000000000000e+03,3.620000000000000000e+02
6.146000000000000000e+03,6.214000000000000000e+03,3.300000000000000000e+02
7.033000000000000000e+03,6.214000000000000000e+03,2.870000000000000000e+02
6.217000000000000000e+03,6.047000000000000000e+03,4.030000000000000000e+02
6.221000000000000000e+03,6.221000000000000000e+03,9.920000000000000000e+02
6.070000000000000000e+03,6.221000000000000000e+03,6.480000000000000000e+02
6.212000000000000000e+03,6.070000000000000000e+03,3.950000000000000000e+02
6.208000000000000000e+03,6.221000000000000000e+03,4.810000000000000000e+02
6.221000000000000000e+03,6.208000000000000000e+03,4.560000000000000000e+02
6.214000000000000000e+03,6.221000000000000000e+03,3.640000000000000000e+02
6.212000000000000000e+03,6.219000000000000000e+03,2.040000000000000000e+02
6.213000000000000000e+03,6.021000000000000000e+03,4.200000000000000000e+02
6.221000000000000000e+03,6.047000000000000000e+03,4.980000000000000000e+02
6.214000000000000000e+03,6.221000000000000000e+03,3.380000000000000000e+02
7.033000000000000000e+03,6.021000000000000000e+03,2.310000000000000000e+02
6.209000000000000000e+03,6.047000000000000000e+03,2.260000000000000000e+02
6.214000000000000000e+03,6.047000000000000000e+03,3.530000000000000000e+02
6.070000000000000000e+03,6.213000000000000000e+03,3.020000000000000000e+02
6.021000000000000000e+03,6.047000000000000000e+03,3.720000000000000000e+02
7.033000000000000000e+03,6.214000000000000000e+03,1.633000000000000000e+03
6.204000000000000000e+03,6.047000000000000000e+03,7.100000000000000000e+01
6.047000000000000000e+03,6.204000000000000000e+03,7.200000000000000000e+01
6.204000000000000000e+03,6.047000000000000000e+03,7.700000000000000000e+01
6.047000000000000000e+03,6.204000000000000000e+03,8.200000000000000000e+01
6.221000000000000000e+03,6.047000000000000000e+03,3.390000000000000000e+02
6.231000000000000000e+03,6.075000000000000000e+03,2.750000000000000000e+02
6.070000000000000000e+03,6.021000000000000000e+03,2.210000000000000000e+02
6.202000000000000000e+03,6.047000000000000000e+03,2.390000000000000000e+02
6.047000000000000000e+03,6.248000000000000000e+03,3.660000000000000000e+02
6.021000000000000000e+03,6.047000000000000000e+03,4.350000000000000000e+02
6.212000000000000000e+03,6.021000000000000000e+03,3.300000000000000000e+02
6.206000000000000000e+03,6.021000000000000000e+03,2.810000000000000000e+02
6.154000000000000000e+03,6.174000000000000000e+03,5.940000000000000000e+02
6.214000000000000000e+03,6.155000000000000000e+03,9.470000000000000000e+02
6.047000000000000000e+03,6.079000000000000000e+03,8.100000000000000000e+01
6.021000000000000000e+03,6.047000000000000000e+03,4.120000000000000000e+02
6.203000000000000000e+03,6.021000000000000000e+03,2.390000000000000000e+02
6.221000000000000000e+03,6.070000000000000000e+03,5.970000000000000000e+02
6.021000000000000000e+03,6.217000000000000000e+03,4.580000000000000000e+02
7.028000000000000000e+03,6.204000000000000000e+03,1.892000000000000000e+03
6.214000000000000000e+03,7.028000000000000000e+03,1.701000000000000000e+03
6.079000000000000000e+03,6.214000000000000000e+03,3.750000000000000000e+02
6.034000000000000000e+03,6.079000000000000000e+03,3.320000000000000000e+02
6.218000000000000000e+03,6.047000000000000000e+03,1.820000000000000000e+02
6.047000000000000000e+03,6.206000000000000000e+03,8.000000000000000000e+01
6.021000000000000000e+03,6.047000000000000000e+03,2.460000000000000000e+02
6.205000000000000000e+03,6.021000000000000000e+03,2.450000000000000000e+02
6.047000000000000000e+03,6.079000000000000000e+03,6.500000000000000000e+01
6.231000000000000000e+03,6.214000000000000000e+03,3.290000000000000000e+02
6.214000000000000000e+03,6.216000000000000000e+03,3.350000000000000000e+02
6.047000000000000000e+03,6.214000000000000000e+03,3.320000000000000000e+02
6.021000000000000000e+03,6.047000000000000000e+03,3.160000000000000000e+02
6.202000000000000000e+03,6.021000000000000000e+03,9.400000000000000000e+01
7.033000000000000000e+03,6.214000000000000000e+03,3.380000000000000000e+02
6.079000000000000000e+03,6.047000000000000000e+03,9.200000000000000000e+01
6.218000000000000000e+03,6.047000000000000000e+03,2.230000000000000000e+02
6.047000000000000000e+03,6.218000000000000000e+03,1.960000000000000000e+02
6.218000000000000000e+03,6.047000000000000000e+03,1.490000000000000000e+02
6.231000000000000000e+03,6.214000000000000000e+03,3.390000000000000000e+02
6.021000000000000000e+03,6.216000000000000000e+03,4.490000000000000000e+02
